Frames,Rand,LRU,Clock
1,0.59,28.39,28.39
2,2.42,59.6,53.91
3,3.37,70.29,65.98
4,4.01,75.62,72.64
5,4.42,78.22,76.51
6,4.73,80.08,79.06
7,4.96,81.59,80.89
8,5.17,82.88,82.22
9,5.33,83.97,83.17
10,5.46,84.93,83.89
11,5.6,85.76,84.41
12,5.67,86.46,84.78
13,5.78,87.04,85.1
14,5.81,87.53,85.34
15,5.9,87.96,85.56
16,5.96,88.34,85.77
17,6.01,88.67,85.89
18,6.09,88.96,86.04
19,6.11,89.25,86.26
20,6.15,89.49,86.3
30,6.5,91.28,87.37
40,6.73,92.44,88.08
50,6.86,93.27,88.62
60,6.99,93.88,89.2
70,7.1,94.38,89.58
80,7.17,94.8,89.93
90,7.25,95.17,90.12
100,7.3,95.43,90.31
110,7.37,95.63,90.55
120,7.41,95.79,90.98
130,7.45,95.95,91.17
140,7.5,96.11,91.27
150,7.54,96.26,91.27
160,7.53,96.4,91.43
170,7.58,96.54,91.43
180,7.6,96.71,91.54
190,7.62,96.9,91.85
200,7.65,97.04,91.86
250,7.73,97.41,92.25
300,7.84,97.78,92.67
350,7.91,98.08,92.93
400,7.96,98.49,92.95
450,7.99,98.74,93.24
500,8.04,98.93,93.31
