Frames,Rand,LRU,Clock
1,0.64,20.76,20.76
2,2.49,51.68,47.08
3,3.86,63.24,59.88
4,4.86,71.74,68.42
5,5.59,76.53,73.75
6,6.16,79.27,77.06
7,6.55,81.05,79.22
8,6.94,82.35,80.76
9,7.25,83.49,81.86
10,7.51,84.53,82.63
11,7.73,85.52,83.25
12,7.9,86.44,83.75
13,8.07,87.25,84.12
14,8.23,87.99,84.45
15,8.38,88.6,84.71
16,8.5,89.13,84.92
17,8.58,89.6,85.19
18,8.68,90.03,85.38
19,8.79,90.42,85.62
20,8.88,90.77,85.82
30,9.52,92.96,87.1
40,9.91,94.04,88.14
50,10.16,94.73,88.78
60,10.35,95.4,89.32
70,10.51,96.59,89.87
80,10.62,97.04,90.19
90,10.74,97.27,90.56
100,10.83,97.44,90.89
110,10.9,97.62,90.85
120,10.97,97.77,91.42
130,11.02,97.92,91.47
140,11.08,98.06,91.84
150,11.11,98.22,91.8
160,11.14,98.33,91.87
170,11.23,98.43,92.04
180,11.23,98.51,92.03
190,11.28,98.59,91.96
200,11.31,98.66,92.23
250,11.47,98.86,92.6
300,11.59,99.05,92.67
350,11.66,99.23,92.73
400,11.74,99.31,93.22
450,11.8,99.37,92.86
500,11.85,99.41,93.42
